Year,PWA_O3,Dataset,Pollutant
2002,49.1926954184963,FAQSD,O3
2003,46.7078125882319,FAQSD,O3
2004,45.0192078996099,FAQSD,O3
2005,48.1173546068473,FAQSD,O3
2006,47.4327933184823,FAQSD,O3
2007,47.5356630713519,FAQSD,O3
2008,45.7028641446134,FAQSD,O3
2009,43.3338189415428,FAQSD,O3
2010,45.3338768290693,FAQSD,O3
2011,45.7474624390628,FAQSD,O3
2012,47.1701002067258,FAQSD,O3
2013,43.2173351992484,FAQSD,O3
2014,43.0070864537947,FAQSD,O3
2015,43.3877058311054,FAQSD,O3
2016,43.3702253131512,FAQSD,O3
2017,43.1625644910815,FAQSD,O3
